Metric,Train,Test
Accuracy,0.9999991329792999,0.999934106483922
Precision,1.0,0.9994503984611157
Recall,0.9999771151337621,0.9988099597217136
F1 Score,0.9999885574359503,0.9991300764617005
ROC AUC,0.999988557566881,0.9993941659325172
